comeback,label,group_type,title,view_count,like_count,comment_count,like_to_view_ratio,yt_negative,yt_neutral,yt_positive,yt_total,yt_positive_ratio,yt_sentiment_score,rd_negative,rd_neutral,rd_positive,rd_total,rd_positive_ratio,rd_sentiment_score
aespa_Whiplash,"aespa
Whiplash",Girl Group,aespa 에스파 'Whiplash' MV,272860242,2496666,94955,0.009149980890217051,6,100,66,172,0.38372093023255816,0.3488372093023256,110,1742,974,2826,0.3446567586694975,0.3057324840764331
IVE_RebelHeart,"IVE
Rebel Heart",Girl Group,IVE 아이브 'REBEL HEART' MV,64041208,784179,42838,0.012244912681846977,1,60,48,109,0.44036697247706424,0.43119266055045874,23,1042,698,1763,0.3959160521837777,0.3828701077708451
TWICE_Strategy,"TWICE
Strategy",Girl Group,TWICE “Strategy (feat. Megan Thee Stallion)” M/V,146374901,1970932,204572,0.01346495872267063,6,95,62,163,0.3803680981595092,0.34355828220858897,23,1229,962,2214,0.43450767841011745,0.4241192411924119
NCTDREAM_WhenImWithYou,"NCT DREAM
When I'm With You",Boy Group,NCT DREAM 엔시티 드림 'When I’m With You' MV,15889568,515104,42525,0.03241774729180806,1,102,76,179,0.4245810055865922,0.41899441340782123,12,338,78,428,0.1822429906542056,0.1542056074766355
ATEEZ_IceOnMyTeeth,"ATEEZ
Ice On My Teeth",Boy Group,ATEEZ(에이티즈) - 'Ice On My Teeth' Official MV,98921178,1062250,68104,0.010738347656959767,1,149,122,272,0.4485294117647059,0.44485294117647056,34,2692,1318,4044,0.3259149357072206,0.31750741839762614
StrayKids_ChkChkBoom,"Stray Kids
Chk Chk Boom",Boy Group,"Stray Kids ""Chk Chk Boom"" M/V",198946095,3631709,391720,0.018254738802488183,4,67,69,140,0.4928571428571429,0.4642857142857143,18,3228,1396,4642,0.3007324429125377,0.2968548039638087
