group_comeback,video_id,title,published_at,view_count,like_count,comment_count,collected_at
aespa_Whiplash,jWQx2f-CErU,aespa 에스파 'Whiplash' MV,2024-10-21T09:00:42Z,272860242,2496666,94955,2026-03-20 05:46:35
IVE_RebelHeart,g36q0ZLvygQ,IVE 아이브 'REBEL HEART' MV,2025-01-13T09:01:36Z,64041208,784179,42838,2026-03-20 05:46:35
TWICE_Strategy,Sz_wWzgh-vQ,TWICE “Strategy (feat. Megan Thee Stallion)” M/V,2024-12-06T04:59:07Z,146374901,1970932,204572,2026-03-20 05:46:35
NCTDREAM_WhenImWithYou,B1qq8IvzSz4,NCT DREAM 엔시티 드림 'When I’m With You' MV,2024-11-11T09:00:09Z,15889568,515104,42525,2026-03-20 05:46:35
ATEEZ_IceOnMyTeeth,5OflOlcHLb8,ATEEZ(에이티즈) - 'Ice On My Teeth' Official MV,2024-11-15T05:00:00Z,98921178,1062250,68104,2026-03-20 05:46:35
StrayKids_ChkChkBoom,0P0aQreFs8w,"Stray Kids ""Chk Chk Boom"" M/V",2024-07-19T04:00:00Z,198946095,3631709,391720,2026-03-20 05:46:35
