video_id,comment,likes,published_at,group_comeback,is_english,cleaned_comment,processed_comment
jWQx2f-CErU,Istg this is the most addictively modern masterpiece k-pop has EVER witnessed!! I’m here EVERYDAY.,4,2026-03-07T18:57:34Z,aespa_Whiplash,True,istg this is the most addictively modern masterpiece kpop has ever witnessed im here everyday,istg addict modern masterpiec kpop ever wit everyday
jWQx2f-CErU,Anyone in march 2026???,4,2026-03-07T16:53:58Z,aespa_Whiplash,True,anyone in march,anyon march
jWQx2f-CErU,Meanwhile riding my F32 😂 ……. 🎶 🔊,2,2026-03-07T16:03:57Z,aespa_Whiplash,True,meanwhile riding my f,meanwhil ride
jWQx2f-CErU,2:13 - That part is so catchy,3,2026-03-07T15:52:51Z,aespa_Whiplash,True,that part is so catchy,part catchi
jWQx2f-CErU,Not blackpink copy them 😂😂 oh tankpink,4,2026-03-07T12:41:27Z,aespa_Whiplash,True,not blackpink copy them oh tankpink,blackpink copi tankpink
jWQx2f-CErU,"2:54 ""THEY'RE REASONS YOU'LL NEVER UNDERSTAND"", hire and English speaker that has a basic understanding of how we use punctuation",0,2026-03-07T04:30:32Z,aespa_Whiplash,True,theyre reasons youll never understand hire and english speaker that has a basic understanding of how we use punctuation,theyr reason youll never understand hire english speaker basic understand use punctuat
jWQx2f-CErU,1:32 the moment I fall in love with Minjeong 🤍,2,2026-03-06T16:25:43Z,aespa_Whiplash,True,the moment i fall in love with minjeong,moment fall love minjeong
jWQx2f-CErU,Not an aespa fan but this song is so cunty,5,2026-03-06T14:42:34Z,aespa_Whiplash,True,not an aespa fan but this song is so cunty,aespa fan song cunti
jWQx2f-CErU,Comeback pleassse,3,2026-03-06T10:48:13Z,aespa_Whiplash,True,comeback pleassse,comeback pleasss
jWQx2f-CErU,Best of the 👌 👍 😍 🥰,3,2026-03-06T10:17:26Z,aespa_Whiplash,True,best of the,best
jWQx2f-CErU,I got sent the link for this and expected the 2014 movie,0,2026-03-06T07:50:40Z,aespa_Whiplash,True,i got sent the link for this and expected the movie,got sent link expect movi
jWQx2f-CErU,Every time Someone likes My comment i'll watch it again.,7,2026-03-06T02:57:21Z,aespa_Whiplash,True,every time someone likes my comment ill watch it again,everi time someon like comment ill watch
jWQx2f-CErU,Who is here after keychain and ATTITUDE,7,2026-03-05T21:54:51Z,aespa_Whiplash,True,who is here after keychain and attitude,keychain attitud
jWQx2f-CErU,"aespa released a new song ATTITUDE, I recommend you listen to it!!",6,2026-03-05T20:05:53Z,aespa_Whiplash,True,aespa released a new song attitude i recommend you listen to it,aespa releas new song attitud recommend listen
jWQx2f-CErU,heard this like 4 times becuase im using whiplash for school talent show /trio,4,2026-03-05T18:52:34Z,aespa_Whiplash,True,heard this like times becuase im using whiplash for school talent show trio,heard like time becuas use whiplash school talent show trio
jWQx2f-CErU,their 2024 run needs to be studied,4,2026-03-05T17:27:09Z,aespa_Whiplash,True,their run needs to be studied,run need studi
