comeback,view_count,like_count,comment_count,like_to_view_ratio,yt_positive_ratio,yt_sentiment_score,rd_positive_ratio,rd_sentiment_score
aespa_Whiplash,272860242,2496666,94955,0.009149980890217051,0.383721,0.348837,0.344657,0.305732
IVE_RebelHeart,64041208,784179,42838,0.012244912681846977,0.440367,0.431193,0.395916,0.38287
TWICE_Strategy,146374901,1970932,204572,0.01346495872267063,0.380368,0.343558,0.434508,0.424119
NCTDREAM_WhenImWithYou,15889568,515104,42525,0.03241774729180806,0.424581,0.418994,0.182243,0.154206
ATEEZ_IceOnMyTeeth,98921178,1062250,68104,0.010738347656959767,0.448529,0.444853,0.325915,0.317507
StrayKids_ChkChkBoom,198946095,3631709,391720,0.018254738802488183,0.492857,0.464286,0.300732,0.296855
