sentiment_source,performance_metric,pearson_r,pearson_p,spearman_r,spearman_p
yt_sentiment_score,view_count,-0.4038,0.4272,-0.0857,0.8717
yt_sentiment_score,like_count,-0.0458,0.9314,0.1429,0.7872
yt_sentiment_score,comment_count,0.1931,0.714,0.0857,0.8717
yt_sentiment_score,like_to_view_ratio,0.2731,0.6006,0.1429,0.7872
rd_sentiment_score,view_count,0.3013,0.5617,0.0857,0.8717
rd_sentiment_score,like_count,0.2077,0.6929,0.0286,0.9572
rd_sentiment_score,comment_count,0.1864,0.7236,0.2,0.704
rd_sentiment_score,like_to_view_ratio,-0.795,0.0588,-0.4286,0.3965
